nome;path_icon;parent;in_flag;cr_flag;grupo;id_ca;script;servico_final
SISTEMAS;system.jpg;;True;True;;;;0
CASDM;ca.png;SISTEMAS;True;True;;;;0
SANKHYA-W;sankhya.png;SISTEMAS;True;True;;;;0
PORTAL DO CLIENTE;portal.jfif;SISTEMAS;True;True;;;;0
DW / HORUS;dw.jfif;SISTEMAS;True;True;;;;0
ERRO OU FALHA;;CASDM;True;False;SISTEMAS CORPORATIVO;;;1
ERRO OU FALHA;;SANKHYA-W;True;False;SISTEMAS CORPORATIVO;;;1
USUÁRIO ( CRIAR / ALTERAR / EXCLUIR);;CASDM;False;True;SISTEMAS CORPORATIVO;;;1
NOTIFICAÇÃO ( CRIAR / ALTERAR / EXCLUIR);;CASDM;False;True;SISTEMAS CORPORATIVO;;;1
GRUPO ( CRIAR / ALTERAR / EXCLUIR);;CASDM;False;True;SISTEMAS CORPORATIVO;;;1
CATEGORIA ( CRIAR / ALTERAR / EXCLUIR);;CASDM;False;True;SISTEMAS CORPORATIVO;;;1
ATUALIZAÇÃO EM MASSA;;CASDM;False;True;SISTEMAS CORPORATIVO;;;1
SOFTWARE;software.png;;True;True;;;;0
OFFICE 365;;SOFTWARE;True;True;TI MICROCITY;;;1
INSTALAR NOVO SOFTWARE;;SOFTWARE;False;True;TI MICROCITY;;;1
ERRO OU FALHA;;SOFTWARE;True;False;TI MICROCITY;;;1
E-MAIL;email.png;;True;True;;;;0
ERRO OU FALHA;;E-MAIL;True;False;BOP;;;1
GRUPO DE E-EMAIL;;E-MAIL;False;True;BOP;;;1
JURÍDICO;juridico.png;;False;True;;;;0
ANÁLISE DE CARTA-CHAMADO;;JURÍDICO;False;True;JURÍDICO;;;1
ANÁLISE DE RFP;;JURÍDICO;False;True;JURÍDICO;;;1
VIAGEM;viagem.png;;False;True;VIAGEM;;;0
COMPRA DE PASSAGEM AEREAS;;VIAGEM;False;True;VIAGEM;;;1
RESERVA DE HOTEL;;VIAGEM;False;True;VIAGEM;;;1
RESERVA DE CARRO;;VIAGEM;False;True;VIAGEM;;;1
ADIANTAMENTO DE VIAGEM;;VIAGEM;False;True;VIAGEM;;;1
